word,japanese
responsible,責任がある
specific,具体的な
whether,～かどうか
unfortunately,残念ながら
mainly,主に
directly,直接に
immediately,すぐに
per,～につき
previously,以前に
fully,完全に
client,顧客
session,会議、講習会
deadline,締め切り
coupon,クーポン
management,管理
option,選択肢
advertisement,広告
contract,契約
participant,参加者
description,説明
feedback,意見、感想
shipment,出荷、発送
resume,履歴書
vehicle,乗り物
appliance,器具、家電
complaint,苦情
promotion,昇進、促進
property,財産、所有物
identification,身分証明
requirement,要件、必要条件
shift,交代勤務
brochure,パンフレット
coworker,同僚
membership,会員資格
response,返答、応答
selection,選択
strategy,戦略
corporation,法人、企業
improvement,改善
procedure,手続き
resident,居住者
stock,在庫、株式
warehouse,倉庫
exhibit,展示品
finance,財務、資金
inspection,検査
signature,署名
applicant,応募者
competitor,競争相手
growth,成長
vendor,売り手、業者
submit,提出する
hire,雇う
arrange,手配する
distribute,配布する
insure,保険をかける
imply,ほのめかす
inspect,検査する
assign,割り当てる
assist,手伝う
manufacture,製造する
renovate,改装する
specialize,専門にする
stack,積み重ねる
anticipate,予期する
consult,相談する
enclose,同封する
load,積む
obtain,得る
recruit,募集する
additional,追加の
upcoming,今度の、間近の
corporate,企業の
potential,潜在的な
executive,重役、経営の
multiple,複数の
pharmaceutical,医薬品の
currently,現在
bike,自転車
practice,練習、実行する
rest,休息、休む
matter,問題、事柄
clerk,事務員
convenience,便利さ
environment,環境
nature,自然
plenty,たくさん
spot,場所
power,力、電力
electricity,電気
pleasure,喜び
prize,賞
round,一回り
deal,取引、処理する
trade,取引、商売する
accountant,会計士
anniversary,記念日
broadcast,放送、放送する
degree,学位、程度
education,教育
