English,Japanese
meals,食事
hamburger,ハンバーガー
pizza,ピザ
spaghetti,スパゲッティ
fried rice,チャーハン
fried noodles,焼きそば
rice ball,おにぎり
rice cake,もち
fried egg,目玉焼き
French fries,フライドポテト
pancake,ホットケーキ
main course,メインコース
the day's special,日替わりおすすめメニュー
dessert,デザート
box lunch,お弁当
mug,マグカップ
eat out,外食する
order,注文する
eat too much,食べ過ぎる
pay the bill,勘定の支払いをする
split the bill,割り勘にする
friends,友人
get to know,知り合いになる
make friends with,〜と友だちになる
make up with,〜と仲直りする
get along with,〜と仲良くする
chat with a friend,友だちとおしゃべりをする
close friend,親友
mutual friend,共通の友だち
fact,事実、事
shock,ショック
meaning,意味
notice,通知・気づく
negative,否定的な
freedom,自由
dependent,依存している
correct,正しい
various,様々な、いろいろ
authority,権威
opposite,逆、反対
